# GT vs DC - Match 14
# 2026-04-08
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- GT ---
13, Shubman Gill, GT, Ragu, 1, 0, 70, 4, 5, 0, 0, 0, 0, 1, 0, 0, 0
17, Mohammed Siraj, GT, RK, 1, 0, 0, 0, 0, 1, 8, 0, 0, 0, 0, 0, 0
15, Rashid Khan, GT, Darshan, 1, 1, 0, 0, 0, 3, 10, 0, 1, 0, 0, 0, 0
79, Kagiso Rabada, GT, JD, 1, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0
14, Sai Sudharsan, GT, Rijo, 1, 0, 12, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0
18, Prasidh Krishna, GT, Rijo, 1, 0, 0, 0, 0, 2, 7, 0, 0, 0, 0, 0, 0
77, Ravisrinivasan Sai Kishore, GT, Rijo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, Jos Buttler, GT, Prakash, 1, 0, 52, 3, 5, 0, 0, 0, 0, 1, 1, 0, 0
74, Glenn Phillips, GT, Prakash, 1, 0, 14, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
76, Washington Sundar, GT, Prakash, 1, 0, 55, 6, 2, 0, 1, 0, 0, 0, 0, 0, 0

# --- DC ---
71, Lungi Ngidi, DC, Ragu, 1, 0, 0, 0, 0, 1, 11, 0, 0, 0, 0, 0, 0
66, Ashutosh Sharma, DC, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69, Mukesh Kumar, DC, RK, 1, 0, 0, 0, 0, 2, 8, 0, 1, 0, 0, 0, 0
12, Mitchell Starc, DC, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68, Tristan Stubbs, DC, Darshan, 1, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
70, T Natarajan, DC, Darshan, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0
8, David Miller, DC, Prabhu, 1, 0, 41, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0
10, KL Rahul, DC, Prabhu, 1, 0, 92, 11, 4, 0, 0, 0, 0, 0, 0, 0, 0
11, Kuldeep Yadav, DC, Prabhu, 1, 0, 1, 0, 0, 1, 5, 0, 1, 0, 0, 0, 0
137, Karun Nair, DC, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
139, Ben Duckett, DC, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, Axar Patel, DC, Dots, 1, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0
67, Abishek Porel, DC, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
145, Auqib Nabi Dar, DC, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
140, Pathum Nissanka, DC, JD, 1, 0, 41, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0
147, Vipraj Nigam, DC, Rijo, 1, 0, 12, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0

