# RCB vs RR - Match 16
# 2026-04-10
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- RCB ---
45, Philip Salt, RCB, Ragu, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
112, Krunal Pandya, RCB, Ragu, 1, 0, 1, 0, 0, 2, 7, 0, 0, 1, 0, 0, 0
116, Suyash Sharma, RCB, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
42, Rajat Patidar, RCB, RK, 1, 0, 63, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0
113, Venkatesh Iyer, RCB, RK, 1, 0, 29, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0
46, Josh Hazlewood, RCB, Darshan, 1, 0, 0, 0, 0, 2, 8, 0, 0, 1, 0, 0, 0
111, Jacob Bethell, RCB, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43, Tim David, RCB, JD, 1, 0, 13, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0
47, Bhuvneshwar Kumar, RCB, JD, 1, 0, 9, 1, 0, 0, 9, 0, 0, 0, 0, 0, 0
110, Devdutt Padikkal, RCB, JD, 1, 0, 14, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
44, Virat Kohli, RCB, Prakash, 1, 0, 32, 7, 0, 0, 0, 0, 0, 1, 0, 0, 0
115, Jitesh Sharma, RCB, Prakash, 1, 0, 5, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
214, Rasikh Salam Dar, RCB, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

# --- RR ---
118, Shimron Hetmyer, RR, Ragu, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
121, Sandeep Sharma, RR, Ragu, 1, 0, 0, 0, 0, 1, 7, 0, 0, 0, 0, 0, 0
49, Vaibhav Sooryavanshi, RR, RK, 1, 1, 78, 8, 7, 0, 0, 0, 0, 0, 0, 0, 0
53, Ravi Bishnoi, RR, RK, 1, 0, 0, 0, 0, 2, 8, 0, 1, 0, 0, 0, 0
119, Dhruv Jurel, RR, RK, 1, 0, 81, 8, 3, 0, 0, 0, 0, 1, 0, 0, 0
120, Tushar Deshpande, RR, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
48, Yashasvi Jaiswal, RR, Darshan, 1, 0, 13, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0
50, Riyan Parag, RR, Darshan, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52, Jofra Archer, RR, Dots, 1, 0, 0, 0, 0, 2, 6, 0, 0, 0, 0, 0, 0
51, Ravindra Jadeja, RR, JD, 1, 0, 24, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0

