# KKR vs MI - Match 2
# 2026-03-29
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- KKR ---
20, Rinku Singh, KKR, Ragu, 1, 0, 33, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0
21, Cameron Green, KKR, Ragu, 1, 0, 18, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
22, Sunil Narine, KKR, RK, 1, 0, 0, 0, 0, 1, 6, 0, 0, 0, 0, 0, 0
83, Finn Allen, KKR, Darshan, 1, 0, 37, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0
23, Varun Chakravarthy, KKR, Prabhu, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0
85, Tim Seifert, KKR, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
162, Ramandeep Singh, KKR, Prabhu, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
82, Angkrish Raghuvanshi, KKR, Dots, 1, 0, 51, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0
81, Rovman Powell, KKR, JD, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19, Ajinkya Rahane, KKR, Rijo, 1, 0, 67, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0
86, Vaibhav Arora, KKR, Rijo, 1, 0, 0, 0, 0, 1, 8, 0, 0, 0, 0, 0, 0
169, Blessing Muzarabani, KKR, Prakash, 1, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0

# --- MI ---
34, Quinton de Kock, MI, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
37, Deepak Chahar, MI, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
98, Will Jacks, MI, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30, Rohit Sharma, MI, RK, 1, 0, 78, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0
190, AM Ghazanfar, MI, RK, 1, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0
182, Naman Dhir, MI, Darshan, 1, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
35, Trent Boult, MI, Prabhu, 1, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0
33, Hardik Pandya, MI, Dots, 1, 0, 18, 3, 0, 1, 7, 0, 0, 1, 0, 0, 0
101, Shardul Thakur, MI, Dots, 1, 1, 0, 0, 0, 3, 7, 0, 0, 0, 0, 0, 0
36, Jasprit Bumrah, MI, JD, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0
32, Tilak Varma, MI, Rijo, 1, 0, 20, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0
31, Suryakumar Yadav, MI, Prakash, 1, 0, 16, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
100, Mitchell Santner, MI, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

