# RCB vs MI - Match 20
# 2026-04-12
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- RCB ---
45, Philip Salt, RCB, Ragu, 1, 1, 78, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0
112, Krunal Pandya, RCB, Ragu, 1, 0, 0, 0, 0, 1, 7, 0, 0, 1, 0, 0, 0
116, Suyash Sharma, RCB, Ragu, 1, 0, 0, 0, 0, 2, 6, 0, 0, 0, 0, 0, 0
42, Rajat Patidar, RCB, RK, 1, 0, 53, 4, 5, 0, 0, 0, 0, 1, 0, 0, 0
113, Venkatesh Iyer, RCB, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46, Josh Hazlewood, RCB, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
111, Jacob Bethell, RCB, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43, Tim David, RCB, JD, 1, 0, 34, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0
47, Bhuvneshwar Kumar, RCB, JD, 1, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0
110, Devdutt Padikkal, RCB, JD, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44, Virat Kohli, RCB, Prakash, 1, 0, 50, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0
115, Jitesh Sharma, RCB, Prakash, 1, 0, 10, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
214, Rasikh Salam Dar, RCB, Prakash, 1, 0, 0, 0, 0, 1, 8, 0, 0, 0, 0, 0, 0

# --- MI ---
34, Quinton de Kock, MI, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
37, Deepak Chahar, MI, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
98, Will Jacks, MI, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30, Rohit Sharma, MI, RK, 1, 0, 19, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0
190, AM Ghazanfar, MI, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
182, Naman Dhir, MI, Darshan, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
35, Trent Boult, MI, Prabhu, 1, 0, 0, 0, 0, 1, 5, 0, 1, 0, 0, 0, 0
33, Hardik Pandya, MI, Dots, 1, 0, 40, 6, 1, 1, 7, 0, 0, 0, 0, 0, 0
101, Shardul Thakur, MI, Dots, 1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0
36, Jasprit Bumrah, MI, JD, 1, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0
32, Tilak Varma, MI, Rijo, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
31, Suryakumar Yadav, MI, Prakash, 1, 0, 33, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0
100, Mitchell Santner, MI, Prakash, 1, 0, 8, 1, 0, 1, 9, 0, 0, 0, 0, 0, 0

