# SRH vs RR - Match 21
# 2026-04-14
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- SRH ---
54, Travis Head, SRH, Ragu, 1, 0, 18, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
233, Kamindu Mendis, SRH, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
60, Harshal Patel, SRH, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
123, Liam Livingstone, SRH, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
59, Pat Cummins, SRH, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
232, Aniket Verma, SRH, Dots, 1, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
57, Ishan Kishan, SRH, JD, 1, 0, 91, 8, 6, 0, 0, 0, 0, 2, 0, 0, 0
58, Heinrich Klaasen, SRH, JD, 1, 0, 40, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0
239, Zeeshan Ansari, SRH, Rijo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55, Abhishek Sharma, SRH, Prakash, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0

# --- RR ---
118, Shimron Hetmyer, RR, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
121, Sandeep Sharma, RR, Ragu, 1, 0, 0, 0, 0, 1, 6, 0, 0, 1, 0, 0, 0
49, Vaibhav Sooryavanshi, RR, RK, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53, Ravi Bishnoi, RR, RK, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0
119, Dhruv Jurel, RR, RK, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0
120, Tushar Deshpande, RR, RK, 1, 0, 25, 0, 3, 1, 7, 0, 0, 0, 0, 1, 0
48, Yashasvi Jaiswal, RR, Darshan, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50, Riyan Parag, RR, Darshan, 1, 0, 4, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0
52, Jofra Archer, RR, Dots, 1, 0, 2, 0, 0, 2, 13, 0, 0, 0, 0, 0, 0
51, Ravindra Jadeja, RR, JD, 1, 0, 45, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0

