# CSK vs KKR - Match 22
# 2026-04-14
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- CSK ---
5, Sanju Samson, CSK, RK, 1, 0, 48, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0
3, Shivam Dube, CSK, Prabhu, 1, 0, 13, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0
2, Dewald Brevis, CSK, Dots, 1, 0, 41, 4, 2, 0, 0, 0, 0, 1, 0, 0, 0
6, Noor Ahmad, CSK, Dots, 1, 1, 0, 0, 0, 3, 8, 0, 1, 0, 0, 0, 0
64, Matt Henry, CSK, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
130, Urvil Patel, CSK, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
62, Jamie Overton, CSK, JD, 1, 0, 7, 1, 0, 0, 6, 0, 0, 0, 0, 0, 0
136, Akeal Hosein, CSK, JD, 1, 0, 0, 0, 0, 1, 7, 0, 0, 0, 0, 0, 0
61, Ayush Mhatre, CSK, Rijo, 1, 0, 38, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0
1, Ruturaj Gaikwad, CSK, Prakash, 1, 0, 7, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0
63, Khaleel Ahmed, CSK, Prakash, 1, 0, 0, 0, 0, 1, 12, 0, 0, 0, 0, 0, 0
126, Sarfaraz Khan, CSK, Prakash, 1, 0, 23, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0
135, Prashant Veer, CSK, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

# --- KKR ---
20, Rinku Singh, KKR, Ragu, 1, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21, Cameron Green, KKR, Ragu, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0
22, Sunil Narine, KKR, RK, 1, 0, 24, 2, 2, 1, 11, 0, 1, 0, 0, 0, 0
83, Finn Allen, KKR, Darshan, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23, Varun Chakravarthy, KKR, Prabhu, 1, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0
85, Tim Seifert, KKR, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
162, Ramandeep Singh, KKR, Prabhu, 1, 0, 35, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0
82, Angkrish Raghuvanshi, KKR, Dots, 1, 0, 27, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0
81, Rovman Powell, KKR, JD, 1, 0, 31, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0
19, Ajinkya Rahane, KKR, Rijo, 1, 0, 28, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0
86, Vaibhav Arora, KKR, Rijo, 1, 0, 0, 0, 0, 1, 7, 0, 0, 1, 0, 0, 0
169, Blessing Muzarabani, KKR, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

