# MI vs PBKS - Match 24
# 2026-04-16
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- MI ---
34, Quinton de Kock, MI, Ragu, 1, 0, 112, 8, 7, 0, 0, 0, 0, 1, 0, 0, 0
37, Deepak Chahar, MI, Ragu, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0
98, Will Jacks, MI, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30, Rohit Sharma, MI, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
190, AM Ghazanfar, MI, RK, 1, 0, 0, 0, 0, 2, 8, 0, 0, 0, 0, 0, 0
182, Naman Dhir, MI, Darshan, 1, 0, 50, 3, 3, 0, 0, 0, 0, 1, 0, 0, 0
35, Trent Boult, MI, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
33, Hardik Pandya, MI, Dots, 1, 0, 14, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0
101, Shardul Thakur, MI, Dots, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0
36, Jasprit Bumrah, MI, JD, 1, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0
32, Tilak Varma, MI, Rijo, 1, 0, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
31, Suryakumar Yadav, MI, Prakash, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
100, Mitchell Santner, MI, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

# --- PBKS ---
39, Marcus Stoinis, PBKS, Ragu, 1, 0, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
104, Nehal Wadhera, PBKS, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40, Arshdeep Singh, PBKS, Darshan, 1, 1, 0, 0, 0, 3, 13, 0, 1, 0, 0, 0, 0
103, Priyansh Arya, PBKS, Darshan, 1, 0, 15, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0
38, Shreyas Iyer, PBKS, Prabhu, 1, 0, 66, 5, 4, 0, 0, 0, 0, 0, 0, 0, 0
41, Yuzvendra Chahal, PBKS, Prabhu, 1, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0
202, Xavier Bartlett, PBKS, Prabhu, 1, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0
105, Shashank Singh, PBKS, Rijo, 1, 0, 0, 0, 0, 1, 3, 0, 0, 1, 0, 0, 0
107, Marco Jansen, PBKS, Rijo, 1, 0, 0, 0, 0, 1, 8, 0, 0, 0, 0, 0, 0
108, Prabhsimran Singh, PBKS, Rijo, 1, 0, 80, 11, 2, 0, 0, 0, 0, 0, 0, 0, 0
203, Harpreet Brar, PBKS, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

