# KKR vs GT - Match 25
# 2026-04-17
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- KKR ---
20, Rinku Singh, KKR, Ragu, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
21, Cameron Green, KKR, Ragu, 1, 0, 79, 7, 4, 0, 0, 0, 0, 2, 0, 0, 0
22, Sunil Narine, KKR, RK, 1, 0, 0, 0, 0, 1, 11, 0, 0, 0, 0, 0, 0
83, Finn Allen, KKR, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23, Varun Chakravarthy, KKR, Prabhu, 1, 0, 0, 0, 0, 2, 5, 0, 0, 0, 0, 0, 0
85, Tim Seifert, KKR, Prabhu, 1, 0, 19, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0
162, Ramandeep Singh, KKR, Prabhu, 1, 0, 17, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0
82, Angkrish Raghuvanshi, KKR, Dots, 1, 0, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
81, Rovman Powell, KKR, JD, 1, 0, 27, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0
19, Ajinkya Rahane, KKR, Rijo, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
86, Vaibhav Arora, KKR, Rijo, 1, 0, 0, 0, 0, 1, 7, 0, 0, 0, 0, 0, 0
169, Blessing Muzarabani, KKR, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

# --- GT ---
13, Shubman Gill, GT, Ragu, 1, 1, 86, 8, 4, 0, 0, 0, 0, 0, 0, 0, 0
17, Mohammed Siraj, GT, RK, 1, 0, 0, 0, 0, 2, 14, 0, 0, 2, 0, 0, 0
15, Rashid Khan, GT, Darshan, 1, 0, 0, 0, 0, 1, 10, 0, 0, 0, 0, 0, 0
79, Kagiso Rabada, GT, JD, 1, 0, 0, 0, 0, 3, 13, 0, 0, 1, 0, 0, 0
14, Sai Sudharsan, GT, Rijo, 1, 0, 22, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0
18, Prasidh Krishna, GT, Rijo, 1, 0, 0, 0, 0, 1, 8, 0, 0, 0, 0, 1, 0
77, Ravisrinivasan Sai Kishore, GT, Rijo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, Jos Buttler, GT, Prakash, 1, 0, 25, 2, 2, 0, 0, 0, 0, 4, 0, 1, 0
74, Glenn Phillips, GT, Prakash, 1, 0, 19, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0
76, Washington Sundar, GT, Prakash, 1, 0, 13, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0

