# RCB vs DC - Match 26
# 2026-04-18
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- RCB ---
45, Philip Salt, RCB, Ragu, 1, 0, 63, 4, 3, 0, 0, 0, 0, 1, 0, 0, 0
112, Krunal Pandya, RCB, Ragu, 1, 0, 12, 0, 1, 1, 5, 0, 0, 0, 0, 0, 0
116, Suyash Sharma, RCB, Ragu, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0
42, Rajat Patidar, RCB, RK, 1, 0, 8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
113, Venkatesh Iyer, RCB, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46, Josh Hazlewood, RCB, Darshan, 1, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0
111, Jacob Bethell, RCB, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43, Tim David, RCB, JD, 1, 0, 26, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0
47, Bhuvneshwar Kumar, RCB, JD, 1, 0, 3, 0, 0, 3, 8, 0, 1, 0, 0, 0, 0
110, Devdutt Padikkal, RCB, JD, 1, 0, 18, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
44, Virat Kohli, RCB, Prakash, 1, 0, 19, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0
115, Jitesh Sharma, RCB, Prakash, 1, 0, 14, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0
214, Rasikh Salam Dar, RCB, Prakash, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0

# --- DC ---
71, Lungi Ngidi, DC, Ragu, 1, 0, 0, 0, 0, 2, 6, 0, 0, 0, 0, 1, 0
66, Ashutosh Sharma, DC, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69, Mukesh Kumar, DC, RK, 1, 0, 0, 0, 0, 1, 10, 0, 1, 0, 0, 0, 0
12, Mitchell Starc, DC, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68, Tristan Stubbs, DC, Darshan, 1, 1, 60, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0
70, T Natarajan, DC, Darshan, 1, 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0
8, David Miller, DC, Prabhu, 1, 0, 22, 1, 2, 0, 0, 0, 0, 2, 0, 0, 0
10, KL Rahul, DC, Prabhu, 1, 0, 57, 6, 2, 0, 0, 0, 0, 1, 0, 1, 0
11, Kuldeep Yadav, DC, Prabhu, 1, 0, 0, 0, 0, 2, 7, 0, 1, 0, 0, 0, 0
137, Karun Nair, DC, Prabhu, 1, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
139, Ben Duckett, DC, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, Axar Patel, DC, Dots, 1, 0, 26, 3, 0, 2, 7, 0, 0, 0, 0, 0, 0
67, Abishek Porel, DC, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
145, Auqib Nabi Dar, DC, Dots, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0
140, Pathum Nissanka, DC, JD, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
147, Vipraj Nigam, DC, Rijo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

