# SRH vs CSK - Match 27
# 2026-04-18
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- SRH ---
54, Travis Head, SRH, Ragu, 1, 0, 23, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0
233, Kamindu Mendis, SRH, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
60, Harshal Patel, SRH, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
123, Liam Livingstone, SRH, Darshan, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0
59, Pat Cummins, SRH, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
232, Aniket Verma, SRH, Dots, 1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
57, Ishan Kishan, SRH, JD, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
58, Heinrich Klaasen, SRH, JD, 1, 0, 59, 6, 2, 0, 0, 0, 0, 2, 0, 0, 0
239, Zeeshan Ansari, SRH, Rijo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55, Abhishek Sharma, SRH, Prakash, 1, 0, 59, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0

# --- CSK ---
5, Sanju Samson, CSK, RK, 1, 0, 7, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0
3, Shivam Dube, CSK, Prabhu, 1, 0, 21, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
2, Dewald Brevis, CSK, Dots, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0
6, Noor Ahmad, CSK, Dots, 1, 0, 1, 0, 0, 0, 7, 0, 0, 1, 0, 0, 0
64, Matt Henry, CSK, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
130, Urvil Patel, CSK, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
62, Jamie Overton, CSK, JD, 1, 0, 16, 1, 0, 3, 5, 0, 0, 0, 0, 0, 0
136, Akeal Hosein, CSK, JD, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
61, Ayush Mhatre, CSK, Rijo, 1, 0, 30, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0
1, Ruturaj Gaikwad, CSK, Prakash, 1, 0, 19, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0
63, Khaleel Ahmed, CSK, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
126, Sarfaraz Khan, CSK, Prakash, 1, 0, 25, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
135, Prashant Veer, CSK, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

