# RR vs KKR - Match 28
# 2026-04-19
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- RR ---
118, Shimron Hetmyer, RR, Ragu, 1, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
121, Sandeep Sharma, RR, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49, Vaibhav Sooryavanshi, RR, RK, 1, 0, 46, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0
53, Ravi Bishnoi, RR, RK, 1, 0, 0, 0, 0, 1, 5, 0, 0, 0, 0, 0, 0
119, Dhruv Jurel, RR, RK, 1, 0, 5, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
120, Tushar Deshpande, RR, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
48, Yashasvi Jaiswal, RR, Darshan, 1, 0, 39, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0
50, Riyan Parag, RR, Darshan, 1, 0, 12, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
52, Jofra Archer, RR, Dots, 1, 0, 8, 1, 0, 1, 9, 0, 1, 0, 0, 0, 0
51, Ravindra Jadeja, RR, JD, 1, 0, 9, 1, 0, 2, 10, 0, 1, 0, 0, 0, 0

# --- KKR ---
20, Rinku Singh, KKR, Ragu, 1, 0, 53, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0
21, Cameron Green, KKR, Ragu, 1, 0, 27, 4, 1, 0, 5, 0, 0, 1, 0, 0, 0
22, Sunil Narine, KKR, RK, 1, 0, 0, 0, 0, 2, 13, 0, 0, 1, 0, 0, 0
83, Finn Allen, KKR, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23, Varun Chakravarthy, KKR, Prabhu, 1, 1, 0, 0, 0, 3, 13, 0, 1, 0, 0, 0, 0
85, Tim Seifert, KKR, Prabhu, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1
162, Ramandeep Singh, KKR, Prabhu, 1, 0, 10, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0
82, Angkrish Raghuvanshi, KKR, Dots, 1, 0, 10, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0
81, Rovman Powell, KKR, JD, 1, 0, 23, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0
19, Ajinkya Rahane, KKR, Rijo, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
86, Vaibhav Arora, KKR, Rijo, 1, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 0
169, Blessing Muzarabani, KKR, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

