# RR vs LSG - Match 32
# 2026-04-23
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- RR ---
118, Shimron Hetmyer, RR, Ragu, 1, 0, 22, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0
121, Sandeep Sharma, RR, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49, Vaibhav Sooryavanshi, RR, RK, 1, 0, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
53, Ravi Bishnoi, RR, RK, 1, 0, 0, 0, 0, 1, 6, 0, 1, 0, 0, 0, 0
119, Dhruv Jurel, RR, RK, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
120, Tushar Deshpande, RR, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
48, Yashasvi Jaiswal, RR, Darshan, 1, 0, 22, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
50, Riyan Parag, RR, Darshan, 1, 0, 20, 2, 1, 0, 0, 0, 0, 2, 0, 0, 0
52, Jofra Archer, RR, Dots, 1, 0, 0, 0, 0, 3, 17, 1, 1, 0, 0, 0, 0
51, Ravindra Jadeja, RR, JD, 1, 1, 43, 2, 1, 1, 9, 0, 0, 0, 0, 0, 0

# --- LSG ---
93, Mohsin Khan, LSG, Ragu, 1, 0, 0, 0, 0, 2, 11, 1, 0, 1, 0, 0, 0
27, Rishabh Pant, LSG, Darshan, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0
172, Abdul Samad, LSG, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
174, Shahbaz Ahmed, LSG, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
25, Aiden Markram, LSG, Dots, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92, Avesh Khan, LSG, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
26, Mitchell Marsh, LSG, JD, 1, 0, 55, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0
29, Mohammed Shami, LSG, JD, 1, 0, 6, 0, 1, 2, 15, 0, 0, 0, 0, 0, 0
90, George Fredrik Linde, LSG, JD, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28, Nicholas Pooran, LSG, Rijo, 1, 0, 22, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0
89, Ayush Badoni, LSG, Rijo, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
94, Digvesh Singh Rathi, LSG, Rijo, 1, 0, 2, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0

