# DC vs PBKS - Match 35
# 2026-04-26
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- DC ---
71, Lungi Ngidi, DC, Ragu, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66, Ashutosh Sharma, DC, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69, Mukesh Kumar, DC, RK, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
12, Mitchell Starc, DC, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68, Tristan Stubbs, DC, Darshan, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
70, T Natarajan, DC, Darshan, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0
8, David Miller, DC, Prabhu, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, KL Rahul, DC, Prabhu, 1, 1, 152, 16, 9, 0, 0, 0, 0, 0, 0, 0, 0
11, Kuldeep Yadav, DC, Prabhu, 1, 0, 0, 0, 0, 2, 8, 0, 2, 0, 0, 0, 0
137, Karun Nair, DC, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
139, Ben Duckett, DC, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, Axar Patel, DC, Dots, 1, 0, 0, 0, 0, 1, 5, 0, 0, 0, 0, 0, 0
67, Abishek Porel, DC, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
145, Auqib Nabi Dar, DC, Dots, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0
140, Pathum Nissanka, DC, JD, 1, 0, 11, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
147, Vipraj Nigam, DC, Rijo, 1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0

# --- PBKS ---
39, Marcus Stoinis, PBKS, Ragu, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0
104, Nehal Wadhera, PBKS, RK, 1, 0, 25, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0
40, Arshdeep Singh, PBKS, Darshan, 1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0
103, Priyansh Arya, PBKS, Darshan, 1, 0, 43, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0
38, Shreyas Iyer, PBKS, Prabhu, 1, 0, 71, 3, 7, 0, 0, 0, 0, 1, 0, 0, 0
41, Yuzvendra Chahal, PBKS, Prabhu, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0
202, Xavier Bartlett, PBKS, Prabhu, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
105, Shashank Singh, PBKS, Rijo, 1, 0, 19, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0
107, Marco Jansen, PBKS, Rijo, 1, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0
108, Prabhsimran Singh, PBKS, Rijo, 1, 0, 76, 9, 5, 0, 0, 0, 0, 1, 0, 0, 0
203, Harpreet Brar, PBKS, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

