# PBKS vs RR - Match 40
# 2026-04-28
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- PBKS ---
39, Marcus Stoinis, PBKS, Ragu, 1, 0, 62, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0
104, Nehal Wadhera, PBKS, RK, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40, Arshdeep Singh, PBKS, Darshan, 1, 0, 0, 0, 0, 1, 6, 0, 0, 0, 0, 0, 0
103, Priyansh Arya, PBKS, Darshan, 1, 0, 29, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0
38, Shreyas Iyer, PBKS, Prabhu, 1, 0, 30, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
41, Yuzvendra Chahal, PBKS, Prabhu, 1, 0, 0, 0, 0, 3, 7, 0, 0, 0, 0, 0, 0
202, Xavier Bartlett, PBKS, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
105, Shashank Singh, PBKS, Rijo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
107, Marco Jansen, PBKS, Rijo, 1, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0
108, Prabhsimran Singh, PBKS, Rijo, 1, 0, 59, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0
203, Harpreet Brar, PBKS, Prakash, 1, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0

# --- RR ---
118, Shimron Hetmyer, RR, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
121, Sandeep Sharma, RR, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49, Vaibhav Sooryavanshi, RR, RK, 1, 0, 43, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0
53, Ravi Bishnoi, RR, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
119, Dhruv Jurel, RR, RK, 1, 0, 16, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0
120, Tushar Deshpande, RR, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
48, Yashasvi Jaiswal, RR, Darshan, 1, 0, 51, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0
50, Riyan Parag, RR, Darshan, 1, 0, 29, 2, 2, 0, 0, 0, 0, 1, 0, 0, 0
52, Jofra Archer, RR, Dots, 1, 0, 0, 0, 0, 1, 10, 0, 0, 0, 0, 0, 0
51, Ravindra Jadeja, RR, JD, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0

