# LSG vs DC - Match 5
# 2026-04-01
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- LSG ---
93, Mohsin Khan, LSG, Ragu, 1, 0, 0, 0, 0, 1, 15, 1, 0, 1, 0, 0, 0
27, Rishabh Pant, LSG, Darshan, 1, 0, 7, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0
172, Abdul Samad, LSG, Prabhu, 1, 0, 36, 3, 1, 0, 0, 0, 0, 1, 0, 0, 0
174, Shahbaz Ahmed, LSG, Prabhu, 1, 0, 15, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
25, Aiden Markram, LSG, Dots, 1, 0, 11, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0
92, Avesh Khan, LSG, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
26, Mitchell Marsh, LSG, JD, 1, 0, 35, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0
29, Mohammed Shami, LSG, JD, 1, 0, 1, 0, 0, 1, 12, 0, 0, 0, 0, 0, 0
90, Wanindu Hasaranga, LSG, JD, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28, Nicholas Pooran, LSG, Rijo, 1, 0, 8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
89, Ayush Badoni, LSG, Rijo, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
94, Digvesh Singh Rathi, LSG, Rijo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

# --- DC ---
71, Lungi Ngidi, DC, Ragu, 1, 0, 0, 0, 0, 3, 9, 0, 1, 0, 0, 0, 0
66, Ashutosh Sharma, DC, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69, Mukesh Kumar, DC, RK, 1, 0, 0, 0, 0, 0, 11, 0, 0, 1, 1, 0, 0
12, Mitchell Starc, DC, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68, Tristan Stubbs, DC, Darshan, 1, 0, 39, 3, 1, 0, 0, 0, 0, 2, 0, 0, 0
70, T Natarajan, DC, Darshan, 1, 0, 0, 0, 0, 3, 8, 0, 0, 0, 0, 0, 0
8, David Miller, DC, Prabhu, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
10, KL Rahul, DC, Prabhu, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
11, Kuldeep Yadav, DC, Prabhu, 1, 0, 0, 0, 0, 2, 8, 0, 0, 2, 0, 0, 0
137, Karun Nair, DC, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
139, Ben Duckett, DC, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, Axar Patel, DC, Dots, 1, 0, 0, 0, 0, 1, 9, 0, 1, 0, 0, 0, 0
67, Abishek Porel, DC, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
145, Auqib Nabi Dar, DC, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
140, Pathum Nissanka, DC, JD, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
147, Vipraj Nigam, DC, Rijo, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0

