# GT vs RR - Match 51
# 2026-05-09
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- GT ---
13, Shubman Gill, GT, Ragu, 1, 0, 84, 9, 3, 0, 0, 0, 0, 1, 0, 0, 0
17, Mohammed Siraj, GT, RK, 1, 0, 0, 0, 0, 1, 8, 0, 0, 0, 0, 0, 0
15, Rashid Khan, GT, Darshan, 1, 1, 0, 0, 0, 4, 12, 0, 4, 0, 0, 0, 0
79, Kagiso Rabada, GT, JD, 1, 0, 0, 0, 0, 2, 9, 0, 0, 0, 0, 0, 0
14, Sai Sudharsan, GT, Rijo, 1, 0, 55, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0
18, Prasidh Krishna, GT, Rijo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
77, Ravisrinivasan Sai Kishore, GT, Rijo, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
16, Jos Buttler, GT, Prakash, 1, 0, 13, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
74, Glenn Phillips, GT, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76, Washington Sundar, GT, Prakash, 1, 0, 37, 2, 3, 0, 6, 0, 0, 1, 0, 0, 0

# --- RR ---
118, Shimron Hetmyer, RR, Ragu, 1, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
121, Sandeep Sharma, RR, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49, Vaibhav Sooryavanshi, RR, RK, 1, 0, 36, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0
53, Ravi Bishnoi, RR, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
119, Dhruv Jurel, RR, RK, 1, 0, 24, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0
120, Tushar Deshpande, RR, RK, 1, 0, 1, 0, 0, 0, 7, 0, 0, 1, 0, 0, 0
48, Yashasvi Jaiswal, RR, Darshan, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
50, Riyan Parag, RR, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52, Jofra Archer, RR, Dots, 1, 0, 5, 1, 0, 0, 4, 0, 0, 1, 0, 0, 0
51, Ravindra Jadeja, RR, JD, 1, 0, 38, 3, 2, 1, 5, 0, 0, 0, 0, 0, 0

