# DC vs KKR - Match 52
# 2026-05-09
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- DC ---
71, Lungi Ngidi, DC, Ragu, 1, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0
66, Ashutosh Sharma, DC, RK, 1, 0, 39, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0
69, Mukesh Kumar, DC, RK, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12, Mitchell Starc, DC, Darshan, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0
68, Tristan Stubbs, DC, Darshan, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
70, T Natarajan, DC, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, David Miller, DC, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, KL Rahul, DC, Prabhu, 1, 0, 23, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, Kuldeep Yadav, DC, Prabhu, 1, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0
137, Karun Nair, DC, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
139, Ben Duckett, DC, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, Axar Patel, DC, Dots, 1, 0, 11, 0, 0, 1, 9, 0, 1, 0, 0, 0, 0
67, Abishek Porel, DC, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
145, Auqib Nabi Dar, DC, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
140, Pathum Nissanka, DC, JD, 1, 0, 50, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0
147, Vipraj Nigam, DC, Rijo, 1, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0

# --- KKR ---
20, Rinku Singh, KKR, Ragu, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21, Cameron Green, KKR, Ragu, 1, 0, 33, 0, 2, 1, 2, 0, 0, 1, 0, 0, 0
22, Sunil Narine, KKR, RK, 1, 0, 0, 0, 0, 1, 14, 0, 0, 1, 0, 0, 0
83, Finn Allen, KKR, Darshan, 1, 1, 100, 5, 10, 0, 0, 0, 0, 0, 0, 0, 0
23, Varun Chakravarthy, KKR, Prabhu, 1, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0
85, Tim Seifert, KKR, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
162, Ramandeep Singh, KKR, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
82, Angkrish Raghuvanshi, KKR, Dots, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
81, Rovman Powell, KKR, JD, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
19, Ajinkya Rahane, KKR, Rijo, 1, 0, 13, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
86, Vaibhav Arora, KKR, Rijo, 1, 0, 0, 0, 0, 1, 5, 0, 0, 0, 0, 0, 0
169, Blessing Muzarabani, KKR, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

