# GT vs SRH - Match 56
# 2026-05-12
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- GT ---
13, Shubman Gill, GT, Ragu, 1, 0, 5, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0
17, Mohammed Siraj, GT, RK, 1, 0, 0, 0, 0, 1, 13, 1, 0, 1, 0, 0, 0
15, Rashid Khan, GT, Darshan, 1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0
79, Kagiso Rabada, GT, JD, 1, 1, 0, 0, 0, 3, 13, 0, 1, 0, 0, 0, 0
14, Sai Sudharsan, GT, Rijo, 1, 0, 61, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0
18, Prasidh Krishna, GT, Rijo, 1, 0, 0, 0, 0, 2, 10, 0, 0, 0, 0, 0, 0
77, Ravisrinivasan Sai Kishore, GT, Rijo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, Jos Buttler, GT, Prakash, 1, 0, 7, 1, 0, 0, 0, 0, 0, 4, 0, 0, 1
74, Glenn Phillips, GT, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76, Washington Sundar, GT, Prakash, 1, 0, 50, 7, 1, 0, 0, 0, 0, 1, 0, 0, 0

# --- SRH ---
54, Travis Head, SRH, Ragu, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
233, Kamindu Mendis, SRH, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
60, Harshal Patel, SRH, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
123, Liam Livingstone, SRH, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
59, Pat Cummins, SRH, Dots, 1, 0, 19, 1, 2, 1, 13, 0, 0, 0, 0, 0, 0
232, Aniket Verma, SRH, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
57, Ishan Kishan, SRH, JD, 1, 0, 11, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0
58, Heinrich Klaasen, SRH, JD, 1, 0, 14, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0
239, Zeeshan Ansari, SRH, Rijo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55, Abhishek Sharma, SRH, Prakash, 1, 0, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0

