# RR vs DC - Match 62
# 2026-05-18
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- RR ---
118, Shimron Hetmyer, RR, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
121, Sandeep Sharma, RR, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49, Vaibhav Sooryavanshi, RR, RK, 1, 0, 46, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0
53, Ravi Bishnoi, RR, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
119, Dhruv Jurel, RR, RK, 1, 0, 53, 5, 2, 0, 0, 0, 0, 1, 0, 0, 0
120, Tushar Deshpande, RR, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
48, Yashasvi Jaiswal, RR, Darshan, 1, 0, 12, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0
50, Riyan Parag, RR, Darshan, 1, 0, 51, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0
52, Jofra Archer, RR, Dots, 1, 0, 2, 0, 0, 2, 10, 0, 0, 0, 0, 0, 0
51, Ravindra Jadeja, RR, JD, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

# --- DC ---
71, Lungi Ngidi, DC, Ragu, 1, 0, 0, 0, 0, 2, 15, 0, 1, 0, 0, 0, 0
66, Ashutosh Sharma, DC, RK, 1, 0, 18, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0
69, Mukesh Kumar, DC, RK, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0
12, Mitchell Starc, DC, Darshan, 1, 1, 0, 0, 0, 4, 9, 0, 1, 1, 0, 0, 0
68, Tristan Stubbs, DC, Darshan, 1, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
70, T Natarajan, DC, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, David Miller, DC, Prabhu, 1, 0, 9, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0
10, KL Rahul, DC, Prabhu, 1, 0, 56, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0
11, Kuldeep Yadav, DC, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
137, Karun Nair, DC, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
139, Ben Duckett, DC, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, Axar Patel, DC, Dots, 1, 0, 34, 2, 2, 0, 9, 0, 0, 2, 0, 0, 0
67, Abishek Porel, DC, Dots, 1, 0, 51, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0
145, Auqib Nabi Dar, DC, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
140, Pathum Nissanka, DC, JD, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
147, Vipraj Nigam, DC, Rijo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

