# MI vs KKR - Match 65
# 2026-05-21
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- MI ---
34, Quinton de Kock, MI, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
37, Deepak Chahar, MI, Ragu, 1, 0, 10, 2, 0, 1, 9, 0, 1, 0, 0, 0, 0
98, Will Jacks, MI, Ragu, 1, 0, 14, 1, 1, 0, 3, 0, 0, 0, 0, 0, 0
30, Rohit Sharma, MI, RK, 1, 0, 15, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0
190, AM Ghazanfar, MI, RK, 1, 0, 0, 0, 0, 1, 8, 0, 0, 1, 0, 0, 0
182, Naman Dhir, MI, Darshan, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
35, Trent Boult, MI, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
33, Hardik Pandya, MI, Dots, 1, 0, 26, 2, 1, 0, 7, 0, 0, 0, 0, 0, 0
101, Shardul Thakur, MI, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
36, Jasprit Bumrah, MI, JD, 1, 0, 0, 0, 0, 1, 11, 0, 1, 0, 0, 0, 0
32, Tilak Varma, MI, Rijo, 1, 0, 20, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
31, Suryakumar Yadav, MI, Prakash, 1, 0, 15, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0
100, Mitchell Santner, MI, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

# --- KKR ---
20, Rinku Singh, KKR, Ragu, 1, 0, 9, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0
21, Cameron Green, KKR, Ragu, 1, 0, 4, 0, 0, 2, 9, 0, 0, 1, 0, 0, 0
22, Sunil Narine, KKR, RK, 1, 0, 0, 0, 0, 1, 16, 0, 1, 0, 0, 0, 0
83, Finn Allen, KKR, Darshan, 1, 0, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
23, Varun Chakravarthy, KKR, Prabhu, 1, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 0
85, Tim Seifert, KKR, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
162, Ramandeep Singh, KKR, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
82, Angkrish Raghuvanshi, KKR, Dots, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
81, Rovman Powell, KKR, JD, 1, 0, 40, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0
19, Ajinkya Rahane, KKR, Rijo, 1, 0, 21, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
86, Vaibhav Arora, KKR, Rijo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
169, Blessing Muzarabani, KKR, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

