# GT vs CSK - Match 66
# 2026-05-23
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- GT ---
13, Shubman Gill, GT, Ragu, 1, 0, 64, 7, 3, 0, 0, 0, 0, 1, 1, 0, 0
17, Mohammed Siraj, GT, RK, 1, 1, 0, 0, 0, 3, 10, 0, 1, 0, 0, 0, 0
15, Rashid Khan, GT, Darshan, 1, 0, 0, 0, 0, 3, 6, 0, 0, 0, 0, 0, 0
79, Kagiso Rabada, GT, JD, 1, 0, 0, 0, 0, 3, 10, 0, 0, 1, 0, 0, 0
14, Sai Sudharsan, GT, Rijo, 1, 0, 84, 7, 4, 0, 0, 0, 0, 0, 0, 0, 0
18, Prasidh Krishna, GT, Rijo, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0
77, Ravisrinivasan Sai Kishore, GT, Rijo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, Jos Buttler, GT, Prakash, 1, 0, 57, 5, 4, 0, 0, 0, 0, 2, 0, 0, 0
74, Glenn Phillips, GT, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76, Washington Sundar, GT, Prakash, 1, 0, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0

# --- CSK ---
5, Sanju Samson, CSK, RK, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, Shivam Dube, CSK, Prabhu, 1, 0, 47, 4, 4, 0, 1, 0, 0, 1, 0, 0, 0
2, Dewald Brevis, CSK, Dots, 1, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, Noor Ahmad, CSK, Dots, 1, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0
64, Matt Henry, CSK, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
130, Urvil Patel, CSK, Dots, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
62, Jamie Overton, CSK, JD, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
136, Akeal Hosein, CSK, JD, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
61, Ayush Mhatre, CSK, Rijo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
240, Akash Madhwal, CSK, Rijo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, Ruturaj Gaikwad, CSK, Prakash, 1, 0, 16, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0
63, Khaleel Ahmed, CSK, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
126, Sarfaraz Khan, CSK, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
135, Prashant Veer, CSK, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

