# RR vs MI - Match 69
# 2026-05-25
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- RR ---
118, Shimron Hetmyer, RR, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
121, Sandeep Sharma, RR, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49, Vaibhav Sooryavanshi, RR, RK, 1, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
53, Ravi Bishnoi, RR, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
119, Dhruv Jurel, RR, RK, 1, 0, 38, 3, 2, 0, 0, 0, 0, 2, 0, 0, 0
120, Tushar Deshpande, RR, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
48, Yashasvi Jaiswal, RR, Darshan, 1, 0, 27, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0
50, Riyan Parag, RR, Darshan, 1, 0, 14, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0
52, Jofra Archer, RR, Dots, 1, 1, 32, 1, 3, 3, 13, 0, 1, 0, 0, 0, 0
51, Ravindra Jadeja, RR, JD, 1, 0, 19, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0

# --- MI ---
34, Quinton de Kock, MI, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
37, Deepak Chahar, MI, Ragu, 1, 0, 8, 0, 1, 2, 10, 0, 0, 0, 0, 0, 0
98, Will Jacks, MI, Ragu, 1, 0, 33, 3, 2, 1, 7, 0, 0, 0, 0, 0, 0
30, Rohit Sharma, MI, RK, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
190, AM Ghazanfar, MI, RK, 1, 0, 2, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0
182, Naman Dhir, MI, Darshan, 1, 0, 6, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0
35, Trent Boult, MI, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
33, Hardik Pandya, MI, Dots, 1, 0, 34, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0
101, Shardul Thakur, MI, Dots, 1, 0, 10, 1, 0, 2, 7, 0, 0, 0, 0, 1, 0
36, Jasprit Bumrah, MI, JD, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32, Tilak Varma, MI, Rijo, 1, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0
31, Suryakumar Yadav, MI, Prakash, 1, 0, 60, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0
100, Mitchell Santner, MI, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

