# RCB vs GT - Match 71
# 2026-05-27
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- RCB ---
45, Philip Salt, RCB, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
112, Krunal Pandya, RCB, Ragu, 1, 0, 43, 5, 2, 2, 12, 0, 0, 0, 0, 0, 0
116, Suyash Sharma, RCB, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
42, Rajat Patidar, RCB, RK, 1, 1, 93, 5, 9, 0, 0, 0, 0, 1, 0, 0, 0
113, Venkatesh Iyer, RCB, RK, 1, 0, 19, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0
46, Josh Hazlewood, RCB, Darshan, 1, 0, 0, 0, 0, 1, 13, 0, 1, 2, 0, 0, 0
111, Jacob Bethell, RCB, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43, Tim David, RCB, JD, 1, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
47, Bhuvneshwar Kumar, RCB, JD, 1, 0, 0, 0, 0, 2, 14, 0, 1, 0, 0, 0, 0
110, Devdutt Padikkal, RCB, JD, 1, 0, 30, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0
44, Virat Kohli, RCB, Prakash, 1, 0, 43, 5, 1, 0, 0, 0, 0, 1, 0, 0, 0
115, Jitesh Sharma, RCB, Prakash, 1, 0, 15, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
214, Rasikh Salam Dar, RCB, Prakash, 1, 0, 0, 0, 0, 2, 10, 1, 0, 1, 0, 0, 0

# --- GT ---
13, Shubman Gill, GT, Ragu, 1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
17, Mohammed Siraj, GT, RK, 1, 0, 5, 1, 0, 0, 4, 0, 0, 0, 0, 0, 0
15, Rashid Khan, GT, Darshan, 1, 0, 8, 0, 1, 0, 4, 0, 0, 0, 0, 0, 0
79, Kagiso Rabada, GT, JD, 1, 0, 9, 2, 0, 2, 8, 0, 0, 0, 0, 0, 0
14, Sai Sudharsan, GT, Rijo, 1, 0, 14, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0
18, Prasidh Krishna, GT, Rijo, 1, 0, 6, 1, 0, 1, 4, 0, 1, 0, 0, 0, 0
77, Ravisrinivasan Sai Kishore, GT, Rijo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, Jos Buttler, GT, Prakash, 1, 0, 29, 4, 2, 0, 0, 0, 0, 1, 0, 0, 0
74, Glenn Phillips, GT, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76, Washington Sundar, GT, Prakash, 1, 0, 8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0

