# MI vs DC - Match 8
# 2026-04-04
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- MI ---
34, Quinton de Kock, MI, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
37, Deepak Chahar, MI, Ragu, 1, 0, 0, 0, 0, 1, 10, 0, 0, 0, 0, 0, 0
98, Will Jacks, MI, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30, Rohit Sharma, MI, RK, 1, 0, 35, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0
190, AM Ghazanfar, MI, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
182, Naman Dhir, MI, Darshan, 1, 0, 28, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0
35, Trent Boult, MI, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
33, Hardik Pandya, MI, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
101, Shardul Thakur, MI, Dots, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0
36, Jasprit Bumrah, MI, JD, 1, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 0, 0
32, Tilak Varma, MI, Rijo, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
31, Suryakumar Yadav, MI, Prakash, 1, 0, 51, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0
100, Mitchell Santner, MI, Prakash, 1, 0, 18, 2, 0, 1, 8, 0, 0, 0, 0, 0, 0

# --- DC ---
71, Lungi Ngidi, DC, Ragu, 1, 0, 0, 0, 0, 1, 8, 0, 1, 0, 0, 0, 0
66, Ashutosh Sharma, DC, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69, Mukesh Kumar, DC, RK, 1, 0, 0, 0, 0, 2, 10, 0, 0, 2, 0, 0, 0
12, Mitchell Starc, DC, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68, Tristan Stubbs, DC, Darshan, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
70, T Natarajan, DC, Darshan, 1, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0
8, David Miller, DC, Prabhu, 1, 0, 21, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, KL Rahul, DC, Prabhu, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, Kuldeep Yadav, DC, Prabhu, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0
137, Karun Nair, DC, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
139, Ben Duckett, DC, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, Axar Patel, DC, Dots, 1, 0, 0, 0, 0, 1, 8, 0, 0, 1, 0, 0, 0
67, Abishek Porel, DC, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
145, Auqib Nabi Dar, DC, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
140, Pathum Nissanka, DC, JD, 1, 0, 44, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0
147, Vipraj Nigam, DC, Rijo, 1, 0, 0, 0, 0, 1, 7, 0, 0, 0, 0, 0, 0

